Sample	Sample	Run1	Issues	Requirement	Run2	Issues	Requirements	Run3	Issues	Requirements
x	2520522	mt78	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_78_6 mẫu	None	trả KQ			
x	2520523	mt78	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_78_6 mẫu	None	trả KQ			
x	2520528	mt78	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_78_6 mẫu	None	trả KQ			
x	2520530	mt78	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_78_6 mẫu	None	trả KQ			
x	2511679	mt71	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_71_1 mẫu	73-340 438-573 16024-16365_HV3F nhiễu sau polyC	trả KQ			
x	2512544	mt76	HV3R nền cao	chạy bổ sung PCR bigdye HV3R, HV3F	20250624_mtDNA_76_1 mẫu	None	trả KQ			
x	2512560	mt76	nhiều hetero	chạy lại từ bước tách	mt103	None	Loại bỏ dịch tách ADN và data run1 (mt76), trả kết quả tương ứng data run2 (mt103)			
x	2512414	mt75	HV3 nhiễu (AC repeat)	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_75_2 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2512488	mt75	HV3 nhiễu (AC repeat)	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_75_2 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2513841	mt80	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_80_2 mẫu	73-340 438-573 16024-16365_HV3F nhiễu sau polyC	trả KQ			
x	2513875	mt80	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_80_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2515514	mt88	HV2F ngắn	chạy lại PCR-bigdye HV2F	20250624_mtDNA_88_4 mẫu	None	trả KQ			
x	2515517	mt88	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_88_4 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2515519	mt88	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_88_4 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2515554	mt88	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_88_4 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2513942	mt81	HV3 polyC	chạy bổ sung PCR-bigdye HV3F	20250624_mtDNA_81_4 mẫu	None	trả KQ			
x	2513993	mt81	2F, 3R không khớp?	chạy lại PCR --> PCR-bigdye 2F, 3R	20250624_mtDNA_81_4 mẫu	None	trả KQ			
x	2514002	mt81	tín hiệu HV2 phức tạp	tạm giữ lại để phân tích tiếp --> tách lại	20250707_mtDNA_81_2514002	none	trả KQ			
x	2514003	mt81	2F dyeblob	chạy lại PCR-bigdye 2F	20250624_mtDNA_81_4 mẫu	None	trả KQ			
x	2514083	mt82	HV3 polyC	chạy bổ sung PCR-bigdye 3F	20250624_mtDNA_82_2 mẫu	73-340 438-573 16024-16365_HV3F nhiễu sau polyC	trả KQ			
x	2514118	mt82	3R ngắn	chạy lại PCR-bigdye 3R	20250624_mtDNA_82_2 mẫu	None	trả KQ			
x	2514148	mt84	HV3 polyC	chạy bổ sung PCR-bigdye 3F	20250624_mtDNA_84_4 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514186	mt84	HV3 nhiễu (AC repeat)	chạy bổ sung PCR-bigdye 3F	20250624_mtDNA_84_4 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2514196	mt84	1F ngắn	chạy lại PCR-bigdye 1F	20250624_mtDNA_84_4 mẫu	None	trả KQ			
x	2514211	mt84	HV3 polyC	chạy bổ sung PCR-bigdye 3F	20250624_mtDNA_84_4 mẫu	None	trả KQ			
x	2514240	mt85	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_85_5 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2514252	mt85	HV3 polyC (460 T>C)	PCR-bigdye 3F	20250624_mtDNA_85_5 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2514260	mt85	HV3 AC repeat	PCR-bigdye 3F	20250624_mtDNA_85_5 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2514270	mt85	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_85_5 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514463	mt85	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_85_5 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514527	mt86	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_86_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514539	mt86	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_86_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514587	mt86	HV3 AC repeat	PCR-bigdye 3F	20250624_mtDNA_86_3 mẫu	73-302 438-522 16024-16365_Nhiễu sau polyC ở HV2F và AC repeat ở HV3F	trả KQ			
x	2514678	mt89	1F fail	rePCR-bigdye 1F	20250624_mtDNA_89_6 mẫu	HV2F nhiễu sau polyA, Full region	trả KQ			
x	2514715	mt89	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_89_6 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514725	mt89	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_89_6 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514748	mt89	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_89_6 mẫu	HV2F - peak shoulder, nền cao	rePCR-BD 2F	20250710_mtDNA_89_2514748		trả KQ
x	2514754	mt89	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_89_6 mẫu	73-340 438-573 16024-16365_HV3F nhiễu sau polyC_File text chưa ghi đoạn trình tự	trả KQ			
x	2514758	mt89	4 trình tự nhiễu	rePCR -> rePCR-bigdye 4 mồi	20250624_mtDNA_89_6 mẫu	None	trả KQ			
x	2514589	mt87	3R nhiễu, ko cover được 1 phần HV2	rePCR-bigdye 3R	20250624_mtDNA_87_8 mẫu	None	trả KQ			
x	2514605	mt87	2F ngắn	rePCR-bigdye 2F	20250624_mtDNA_87_8 mẫu	None	trả KQ			
x	2514606	mt87	3R nhiễu, ko cover được 1 phần HV2	rePCR-bigdye 3R	20250624_mtDNA_87_8 mẫu	None	trả KQ			
x	2514620	mt87	2F ngắn	rePCR-bigdye 2F	20250624_mtDNA_87_8 mẫu	None	trả KQ			
x	2514635	mt87	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_87_8 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514648	mt87	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_87_8 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514654	mt87	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_87_8 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514673	mt87	HV3 polyC, 2F ngắn	PCR-bigdye 3F, 2F	20250624_mtDNA_87_8 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2512605	mt83	4 trình tự nhiễu	rePCR -> rePCR-bigdye 4 mồi	20250624_mtDNA_83_5 mẫu	None	trả KQ			
x	2512640	mt83	4 trình tự nhiễu	rePCR -> rePCR-bigdye 4 mồi	20250624_mtDNA_83_5 mẫu	None	trả KQ			
x	2513914	mt83	3R ngắn	rePCR-bigdye 3R	20250624_mtDNA_83_5 mẫu	None	trả KQ			
x	2513920	mt83	3R ngắn	rePCR-bigdye 3R	20250624_mtDNA_83_5 mẫu	None	trả KQ			
x	2515229	mt83	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_83_5 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	trả KQ			
x	2514776	mt90	1F nền cao	rePCR-bigdye 1F	20250624_mtDNA_90_3 mẫu	None	trả KQ			
x	2514788	mt90	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_90_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2514789	mt90	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_90_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2513785	mt79	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_79_1 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	trả KQ			
x	2515596	mt94	1R fail	rePCR-bigdye 1R	20250624_mtDNA_94_1 mẫu	None	trả KQ			
x	2515332	mt92	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_92_2 mẫu	None	trả KQ			
x	2515339	mt92	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_92_2 mẫu	None	trả KQ			
x	2515360	mt92	tín hiệu HV1 phức tạp	tạm giữ lại để phân tích tiếp --> tách lại	20250707_mtDNA_92_2515360	none	Trả KQ			
x	2515247	mt91	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_91_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2515308	mt91	HV3 nhiễu	PCR-bigdye 3F, 3R	20250624_mtDNA_91_2 mẫu	None	Trả KQ			
x	2517140	mt98	2F peak shoulder	rePCR-bigdye 2F	20250624_mtDNA_98_4 mẫu	None	Trả KQ			
x	2517141	mt98	HV3 AC repeat	PCR-bigdye 3F	20250624_mtDNA_98_4 mẫu	None	Trả KQ			
x	2517152	mt98	1F dye blob	rePCR-bigdye 1F	20250624_mtDNA_98_4 mẫu	None	Trả KQ			
x	2517162	mt98	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_98_4 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	Trả KQ			
x	2516198	mt95	HV3 nhiễu	PCR-bigdye 3F, 3R	20250624_mtDNA_95_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2516363	mt97	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_97_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2516446	mt97	HV3 polyC (460 T>C)	PCR-bigdye 3F	20250624_mtDNA_97_3 mẫu	73-302 438-576 16024-16365_HV2F nhiễu sau polyC	Trả KQ			
x	2516473	mt97	3R dye blob	rePCR-bigdye 3R	20250624_mtDNA_97_3 mẫu	None	Trả KQ			
x	2516245	mt96	2F ngắn	rePCR-bigdye 2F	20250624_mtDNA_96_3 mẫu	None	Trả KQ			
x	2516262	mt96	HV3 AC repeat	PCR-bigdye 3F	20250624_mtDNA_96_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2516263	mt96	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_96_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2516231	mt102	HV3 AC repeat	PCR-bigdye 3F	20250624_mtDNA_102_3 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2524361	mt102	HV3 AC repeat	PCR-bigdye 3F	20250624_mtDNA_102_3 mẫu	None	Trả KQ			
x	2524362	mt102	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_102_3 mẫu	None	Trả KQ			
x	2517031	mt100	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_100_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
x	2517034	mt100	HV3 polyC	PCR-bigdye 3F	20250624_mtDNA_100_2 mẫu	73-302 438-573 16024-16365_HV2F nhiễu sau polyC, HV3F nhiễu sau polyC	Trả KQ			
